"Planet_Name","Orbit_Period","Planet_Radius","Planet_Mass","Stellar_Flux","Temperature","Star_Temperature","Star_Mass","Planet_Density","Escape_Velocity","Gravity","ESI_Standard"
"Earth",365,1,1,1,288,5778,1,5.50937386363636,11.1874746650365,9.82,1
"Teegarden's Star b",4.9,1.02,1.05,1.15,298,2637,0.093,5.451186343128,11.3508041025465,9.91061130334487,0.950172670407225
"TOI-700 d",37.4,1.14,1.57,0.87,278,3480,0.416,5.83831257519797,13.128934007846,11.863188673438,0.932499252881442
"Kepler-1649 c",19.5,1.06,1.2,1.23,303,3269,0.198,5.55093184001192,11.9033651202443,10.4877180491278,0.924217441273533
"Trappist-1 d",4,0.78,0.39,1.12,303,2566,0.0898,4.52775629818899,7.9107392,6.29487179487179,0.90387550730169
"TRAPPIST-1 d",4.04961,0.772,0.41,1.14,288,2559,0.08,4.90946536018847,8.15296058993373,6.75555048457677,0.897932992253851
"LP 890-9 c",8.457463,1.367,25.3,0.91,272,2850,0.12,54.5653847548355,48.1291363005319,132.952032146601,0.885412920685013
"Proxima Centauri b",11.2,1.08,1.27,0.7,257,3175,0.13,5.55436862300128,12.1317107627558,10.6922153635117,0.872287121923944
"K2-72 e",24.2,1.29,2.21,1.3,307,3498,0.309,5.67185849400466,14.6431107311593,13.0414037617932,0.871449809907793
"GJ 1061 d",13,1.15,1.64,0.69,247,3119,0.12,5.94090450323902,13.359957256654,12.1775425330813,0.861229006630686
"Ross 128 b",9.9,1.11,1.4,1.48,317,3192,0.179,5.63976935963788,12.5641928336607,11.1581852122393,0.858262925271301
